reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
J1,1,DISP_Internal_Conn,DFR:DFR_A1706_Internal_Conn,256.54,157.48,0,,MP1:unconnected-(J1-PadMP1); 2:GND; 4:/DISP_PW_CTRL; 6:/DISP_PW_VO3_EN; 8:Net-(J1-DISP_RSTB); 10:/DISP_INT; 12:Net-(J1-DISP_VSYNC); 14:/DISP_TE; 16:GND; 18:+1.8V; 20:GND; 22:+3.3V; 24:GND; 26:+7.6V; 28:GND; 30:+4.6V; 32:-4.5V; 34:GND; MP3:unconnected-(J1-PadMP3); MP2:unconnected-(J1-PadMP2); 1:GND; 3:Net-(J1-F_~{HOLD}/IO3); 5:Net-(J1-F_~{WP}/IO2); 7:Net-(J1-F_D0/IO1); 9:Net-(J1-F_DIO/IO0); 11:Net-(J1-F_~{CS}); 13:Net-(J1-F_CLK); 15:GND; 17:+1.8V; 19:+1.8V; 21:GND; 23:/DSIHOST_CKP; 25:/DSIHOST_CKN; 27:GND; 29:/DSIHOST_D0P; 31:/DSIHOST_D0N; 33:GND; MP4:unconnected-(J1-PadMP4)
#PWR084,1,GND,power:GND,161.925,73.025,0,,1:None
C84,1,4.7uF,Device:C,371.475,45.085,0,x,1:GND; 2:+3.3V
C96,1,1µF,Device:C,401.32,81.915,0,,1:VERF+; 2:GND
#PWR047,1,GND,power:GND,90.17,180.975,0,,1:None
#PWR0148,1,GND,power:GND,267.97,381.635,0,,1:None
#PWR0203,1,GND,power:GND,385.445,32.385,0,,1:None
#PWR064,1,+4.6V,power:+1V8,210.82,236.22,0,,1:None
#PWR031,1,+7.6V,power:+1V8,170.18,256.54,0,,1:None
#PWR030,1,GND,power:GND,66.675,391.795,0,,1:None
R45,1,16,Device:R,283.21,97.79,0,,1:/CIS_VLED_B; 2:Net-(Q3-D)
#PWR0208,1,GND,power:GND,392.43,393.7,0,,1:None
#PWR0130,1,GND,power:GND,252.095,259.08,270,,1:None
#PWR0235,1,+3.3V,power:+3.3V,424.18,85.725,90,,1:None
#PWR0143,1,GNDA,power:GNDA,264.795,27.305,270,,1:None
U16,1,XC6206P182MR,Regulator_Linear:XC6206PxxxMR,652.145,31.115,0,,3:+3.3V; 1:GND; 2:+1.8V
#PWR014,1,GND,power:GND,46.99,180.975,270,,1:None
#PWR0176,1,GND,power:GND,298.45,238.76,90,,1:None
#PWR0209,1,GND,power:GND,393.7,238.125,0,,1:None
#PWR093,1,GNDA,power:GNDA,180.975,92.075,0,,1:None
