reference,unit,value,lib_id,x_mm,y_mm,angle,mirror,pins_nets
U2,1,U_0131,DVB_U:U_0131,458.47,165.735,0,,A1:GND; A10:/FMC_D3; A11:/MEMS_FSYNC; A12:/SWD-CLK; A13:Net-(U2-VFBSMPS); A14:Net-(U2-VFBSMPS); A15:GND; A2:/OLED_RESET; A3:Net-(U2-VFBSMPS); A4:Net-(U2-VFBSMPS); A5:/DEBUG_TX; A6:unconnected-(U2-PB3-PadA6); A7:/RMII_TX_EN; A8:unconnected-(U2-PG9-PadA8); A9:/MEMS_SCLK; B1:/DAC_LRCK; B10:unconnected-(U2-PD2-PadB10); B11:unconnected-(U2-PC12-PadB11); B12:unconnected-(U2-PH14-PadB12); B13:/SWD-IO; B14:unconnected-(U2-PA8-PadB14); B15:/CIS_RS; B2:unconnected-(U2-PE3-PadB2); B3:/MEMS_CS; B4:unconnected-(U2-PE0-PadB4); B5:/DEBUG_RX; B6:unconnected-(U2-PB4-PadB6); B7:/RMII_TXD0; B8:/FMC_NEx; B9:/FMC_NWE; C1:/DAC_FLT; C10:/FMC_D2; C11:unconnected-(U2-PC11-PadC11); C12:unconnected-(U2-PC10-PadC12); C13:unconnected-(U2-PH13-PadC13); C14:unconnected-(U2-PA10-PadC14); C15:unconnected-(U2-PA11-PadC15); C2:GND; C3:/DAC_SCK; C4:unconnected-(U2-PE1-PadC4); C5:Net-(U2-BOOT0); C6:unconnected-(U2-PB5-PadC6); C7:/RMII_TXD1; C8:unconnected-(U2-PG10-PadC8); C9:/FMC_NOE; D1:unconnected-(U2-PC15-PadD1); D10:GND; D11:+3.3V; D12:unconnected-(U2-PH15-PadD12); D13:/CIS_CP; D14:/CIS_SP; D15:unconnected-(U2-PC7-PadD15); D2:/ETH_RST; D3:/DAC_BCK; D4:Net-(U2-PDR_ON); D5:+3.3V; D6:GND; D7:unconnected-(U2-PG15-PadD7); D8:unconnected-(U2-PG12-PadD8); D9:/DAC_DIN; E1:GND; E12:+3.3V; E13:unconnected-(U2-PC9-PadE13); E14:/CIS_LED_B; E15:+3.3V; E2:+3.3V; E3:unconnected-(U2-PE6-PadE3); E4:+3.3V; F1:Net-(U2-VLXSMPS); F10:GND; F12:GND; F13:+3.3V; F14:unconnected-(U2-PG6-PadF14); F15:/12V_EN; F2:GND; F2:GND; F3:unconnected-(U2-PF1-PadF3); F4:/FMC_Ax; F6:GND; F7:GND; F8:GND; F9:GND; G1:Net-(U2-VDDSMPS); G10:GND; G12:unconnected-(U2-PG8-PadG12); G13:unconnected-(U2-PG7-PadG13); G14:unconnected-(U2-PG4-PadG14); G15:/5V_EN; G2:Net-(U2-VFBSMPS); G3:unconnected-(U2-PF2-PadG3); G4:+3.3V; G6:GND; G7:GND; G8:GND; G9:GND; H1:/QSPI_IO3; H10:GND; H12:+3.3V; H13:unconnected-(U2-PG3-PadH13); H14:/FMC_D0; H15:/CIS_LED_R; H2:unconnected-(U2-PF4-PadH2); H3:unconnected-(U2-PF5-PadH3); H4:unconnected-(U2-PF3-PadH4); H6:GND; H7:GND; H8:GND; H9:GND; J1:Net-(U2-PH0); J10:GND; J12:/FMC_D1; J13:unconnected-(U2-PD11-PadJ13); J14:GND; J15:unconnected-(U2-PD12-PadJ15); J2:/QSPI_IO0; J3:/QSPI_IO2; J4:/QSPI_IO1; J6:GND; J7:GND; J8:GND; J9:GND; K1:Net-(U2-PH1); K10:GND; K12:GND; K13:unconnected-(U2-PD9-PadK13); K14:/MEMS_MOSI; K15:/MEMS_MISO; K2:GND; K3:/QSPI_CLK; K4:+3.3V; K6:GND; K7:GND; K8:GND; K9:GND; L1:/RST; L12:+3.3V; L13:unconnected-(U2-PD10-PadL13); L14:/MEMS_INT; L15:unconnected-(U2-PB13-PadL15); L2:unconnected-(U2-PC0-PadL2); L3:/RMII_MDC; L4:GND; M1:/DAC_XSMT; M10:GND; M11:unconnected-(U2-PH7-PadM11); M12:/SW_3; M13:unconnected-(U2-PH11-PadM13); M14:unconnected-(U2-PH9-PadM14); M15:unconnected-(U2-PB12-PadM15); M2:unconnected-(U2-PC3-PadM2); M3:VERF+; M4:Net-(U2-VDDA); M5:+3.3V; M6:GND; M7:/RMII_RXD1; M8:unconnected-(U2-PB1-PadM8); M9:+3.3V; N1:unconnected-(U2-PC2_C-PadN1); N10:unconnected-(U2-PF15-PadN10); N11:unconnected-(U2-PF13-PadN11); N12:/QSPI_nCS; N13:unconnected-(U2-PH8-PadN13); N14:unconnected-(U2-PH10-PadN14); N15:/CIS_LED_G; N2:/CIS_ADC_3; N3:GND; N3:GND; N4:unconnected-(U2-PH2-PadN4); N5:unconnected-(U2-PA3-PadN5); N6:/RMII_CRS_DV; N7:unconnected-(U2-PF11-PadN7); N8:/FMC_D5; N9:unconnected-(U2-PG1-PadN9); P1:unconnected-(U2-PA0-PadP1); P10:unconnected-(U2-PB11-PadP10); P11:unconnected-(U2-PF12-PadP11); P12:/LED3; P13:/SW_2; P14:/SW_1; P15:/LED1; P2:/RMII_REF_CLK; P3:/CIS_ADC_2; P4:unconnected-(U2-PH4-PadP4); P5:unconnected-(U2-PA4-PadP5); P6:unconnected-(U2-PA5-PadP6); P7:unconnected-(U2-PB2-PadP7); P8:unconnected-(U2-PG0-PadP8); P9:/FMC_D4; R1:GND; R10:unconnected-(U2-PF14-PadR10); R11:/FMC_D6; R12:/LED2; R13:Net-(U2-VFBSMPS); R14:Net-(U2-VFBSMPS); R15:GND; R2:/RMII_MDIO; R3:/CIS_ADC_1; R4:/DAC_DEMP; R5:unconnected-(U2-PH5-PadR5); R6:/RMII_RXD0; R7:unconnected-(U2-PA6-PadR7); R8:unconnected-(U2-PB0-PadR8); R9:/FMC_D7
#PWR09,1,GND,DVB_Power:GND,43.815,287.02,270,,1:None
R12,1,R_0001,DVB_R:R_0001,121.92,59.69,90,,1:/CIS_ADC_3; 2:Net-(K2-Pin_12)
C4,1,C_0003,DVB_C:C_0003,26.67,193.675,0,x,1:GND; 2:+3.3V
#PWR0136,1,GND,DVB_Power:GND,483.87,46.99,0,,1:None
#PWR04,1,GND,DVB_Power:GND,26.035,288.29,0,,1:None
C84,1,C_0002,DVB_C:C_0002,512.445,33.02,0,y,1:VERF+; 2:GND
#PWR0137,1,GND,DVB_Power:GND,499.745,36.83,0,,1:None
#PWR0139,1,GND,DVB_Power:GND,494.03,57.785,180,,1:None
L7,1,L_0010,DVB_L:L_0010,483.87,33.02,270,,1:+3.3V; 2:Net-(U2-VDDA)
